alias,categories,coordinates.latitude,coordinates.longitude,display_phone,distance,id,image_url,is_closed,location.address1,location.address2,location.address3,location.city,location.country,location.display_address,location.state,location.zip_code,name,phone,price,rating,review_count,transactions,url
mcdonalds-staten-island-3,"[{u'alias': u'hotdogs', u'title': u'Fast Food'}, {u'alias': u'burgers', u'title': u'Burgers'}, {u'alias': u'coffee', u'title': u'Coffee & Tea'}]",40.629226,-74.115859,(718) 876-6088,5339.10430152,H8732Bk4XzpKeUvePqWuxw,https://s3-media4.fl.yelpcdn.com/bphoto/jLd6jB9cDlksjh2bB4r00Q/o.jpg,False,803 Forest Ave,,,Staten Island,US,"[803 Forest Ave, Staten Island, NY 10310]",NY,10310,McDonald's,17188766088.0,$,2.0,25,[],https://www.yelp.com/biz/mcdonalds-staten-island-3?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
dq-grill-and-chill-staten-island,"[{u'alias': u'hotdogs', u'title': u'Fast Food'}, {u'alias': u'icecream', u'title': u'Ice Cream & Frozen Yogurt'}, {u'alias': u'juicebars', u'title': u'Juice Bars & Smoothies'}]",40.626149,-74.156053,(718) 720-0777,4718.5566368,P4PrFXaDx5rGpixfX8TsTA,https://s3-media3.fl.yelpcdn.com/bphoto/Ggj7NLM0fNTIry0UMHW_3g/o.jpg,False,2005 Forest Ave,,,Staten Island,US,"[2005 Forest Ave, Staten Island, NY 10303]",NY,10303,DQ Grill & Chill,17187200777.0,$,2.5,8,[],https://www.yelp.com/biz/dq-grill-and-chill-staten-island?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
white-castle-staten-island-3,"[{u'alias': u'burgers', u'title': u'Burgers'}, {u'alias': u'hotdogs', u'title': u'Fast Food'}]",40.6267799,-74.16431,(718) 816-1610,5027.47841469,6V5Ncj1fqmR2HJo31mBJhg,https://s3-media2.fl.yelpcdn.com/bphoto/G0KbpSECfEh33JQWDAT4zA/o.jpg,False,2238 Forest Ave,,,Staten Island,US,"[2238 Forest Ave, Staten Island, NY 10303]",NY,10303,White Castle,17188161610.0,$,3.0,16,"[delivery, pickup]",https://www.yelp.com/biz/white-castle-staten-island-3?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
wendys-staten-island-10,"[{u'alias': u'burgers', u'title': u'Burgers'}, {u'alias': u'hotdogs', u'title': u'Fast Food'}]",40.625324,-74.147399,(718) 981-2102,4488.34528704,iYSQAIMcKE9jSSzlrbIWxw,https://s3-media1.fl.yelpcdn.com/bphoto/Snyfhx_nZlvnGjswMFWbdg/o.jpg,False,1761 Forest Ave,,,Staten Island,US,"[1761 Forest Ave, Staten Island, NY 10303]",NY,10303,Wendy's,17189812102.0,$,1.5,16,[],https://www.yelp.com/biz/wendys-staten-island-10?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
popeyes-louisiana-kitchen-staten-island-2,"[{u'alias': u'chicken_wings', u'title': u'Chicken Wings'}, {u'alias': u'hotdogs', u'title': u'Fast Food'}]",40.62594,-74.13471,(718) 720-1545,4554.44299674,Ljq_vTYPsVs8iB2Q4_w-eg,https://s3-media4.fl.yelpcdn.com/bphoto/695gm6tEM4oV4q_LZhdYEA/o.jpg,False,1351 Forest Ave,,,Staten Island,US,"[1351 Forest Ave, Staten Island, NY 10302]",NY,10302,Popeyes Louisiana Kitchen,17187201545.0,$,3.5,18,[],https://www.yelp.com/biz/popeyes-louisiana-kitchen-staten-island-2?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
mcdonalds-staten-island-2,"[{u'alias': u'burgers', u'title': u'Burgers'}, {u'alias': u'hotdogs', u'title': u'Fast Food'}, {u'alias': u'coffee', u'title': u'Coffee & Tea'}]",40.57768,-74.1021899,(718) 979-1524,3409.20516238,kok1I-4ciraZJ1FH5iw7Ng,https://s3-media2.fl.yelpcdn.com/bphoto/Dc8Oiphqj2eEp5yyc54fJw/o.jpg,False,2154 Hylan Blvd,,,Staten Island,US,"[2154 Hylan Blvd, Staten Island, NY 10306]",NY,10306,McDonald's,17189791524.0,$,2.0,23,[],https://www.yelp.com/biz/mcdonalds-staten-island-2?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
wendys-staten-island-7,"[{u'alias': u'hotdogs', u'title': u'Fast Food'}, {u'alias': u'burgers', u'title': u'Burgers'}]",40.5211864128,-74.2168859471,(718) 967-3911,9569.0642146,jsoosoWvpp7-dDzfBibpQg,https://s3-media3.fl.yelpcdn.com/bphoto/Sgor0G__bc720r2kAdhT0A/o.jpg,False,6420 Amboy Rd,,,Staten Island,US,"[6420 Amboy Rd, Staten Island, NY 10309]",NY,10309,Wendy's,17189673911.0,$,2.5,17,[],https://www.yelp.com/biz/wendys-staten-island-7?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
chick-fil-a-union-2,"[{u'alias': u'hotdogs', u'title': u'Fast Food'}]",40.6908708854,-74.2908222656,(908) 688-4515,17242.2093677,Cgr3ovovWENwRj8l2BO1Lw,https://s3-media1.fl.yelpcdn.com/bphoto/mTH_2HjMPdAbdlI0QFsT-g/o.jpg,False,2319 US Highway 22 W,,,Union,US,"[2319 US Highway 22 W, Union, NJ 07083]",NJ,7083,Chick-fil-A,19086884515.0,$,4.0,109,[],https://www.yelp.com/biz/chick-fil-a-union-2?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
qdoba-mexican-eats-staten-island-4,"[{u'alias': u'hotdogs', u'title': u'Fast Food'}, {u'alias': u'mexican', u'title': u'Mexican'}]",40.54203,-74.207487,(718) 966-1353,7374.97144861,mU2qDGsY9hf02Fjb7uQBdA,https://s3-media2.fl.yelpcdn.com/bphoto/w_TpMKQh29o-v7rJf-1ImA/o.jpg,False,1275 Woodrow Rd,,,Staten Island,US,"[1275 Woodrow Rd, Staten Island, NY 10309]",NY,10309,QDOBA Mexican Eats,17189661353.0,$,4.5,11,[],https://www.yelp.com/biz/qdoba-mexican-eats-staten-island-4?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
burger-king-staten-island-2,"[{u'alias': u'hotdogs', u'title': u'Fast Food'}, {u'alias': u'burgers', u'title': u'Burgers'}]",40.585434,-74.168163,(718) 494-8618,2274.03056061,PZtujYY992Oz7dWNwl_JKw,https://s3-media2.fl.yelpcdn.com/bphoto/049Pdph1Zw6xiRbe4IFw6Q/o.jpg,False,2557 Richmond Ave,,,Staten Island,US,"[2557 Richmond Ave, Staten Island, NY 10314]",NY,10314,Burger King,17184948618.0,$,2.5,8,[],https://www.yelp.com/biz/burger-king-staten-island-2?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
mcdonalds-staten-island-7,"[{u'alias': u'burgers', u'title': u'Burgers'}, {u'alias': u'hotdogs', u'title': u'Fast Food'}, {u'alias': u'coffee', u'title': u'Coffee & Tea'}]",40.5177203976,-74.2347512432,(718) 227-2483,10898.6382413,JD0Vz838f7x6HgS4Sjd39w,https://s3-media3.fl.yelpcdn.com/bphoto/rUhcd3qzcH-2alUPw3HhFQ/o.jpg,False,260 Page Ave,,,Staten Island,US,"[260 Page Ave, Staten Island, NY 10307]",NY,10307,McDonald's,17182272483.0,$,2.5,15,[],https://www.yelp.com/biz/mcdonalds-staten-island-7?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
wendys-staten-island-9,"[{u'alias': u'hotdogs', u'title': u'Fast Food'}, {u'alias': u'burgers', u'title': u'Burgers'}]",40.5882027588,-74.1669055906,(718) 761-3950,2192.71296896,_0LUahvn0iQ5pP9ysPEaGg,https://s3-media2.fl.yelpcdn.com/bphoto/RjvBcHxmoXob3Gyjep8_mA/o.jpg,False,26 Richmond Hill Rd,,,Staten Island,US,"[26 Richmond Hill Rd, Staten Island, NY 10314]",NY,10314,Wendy's,17187613950.0,$,2.5,8,[],https://www.yelp.com/biz/wendys-staten-island-9?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
mcdonalds-staten-island-13,"[{u'alias': u'hotdogs', u'title': u'Fast Food'}, {u'alias': u'burgers', u'title': u'Burgers'}, {u'alias': u'coffee', u'title': u'Coffee & Tea'}]",40.6255398949,-74.1493691504,(718) 720-6907,4534.29187632,5RoBZKtICvk47IMXocRvQg,https://s3-media3.fl.yelpcdn.com/bphoto/ju3GrGwPGnOVf45f3_gGFA/o.jpg,False,1815 Forest Ave,,,Staten Island,US,"[1815 Forest Ave, Staten Island, NY 10303]",NY,10303,McDonald's,17187206907.0,$,2.0,18,[],https://www.yelp.com/biz/mcdonalds-staten-island-13?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
taco-bell-heartland-village,"[{u'alias': u'tex-mex', u'title': u'Tex-Mex'}, {u'alias': u'hotdogs', u'title': u'Fast Food'}, {u'alias': u'mexican', u'title': u'Mexican'}]",40.5813252391,-74.1663956068,,2168.69684801,3PNDghinChRMt2eHXY5F9g,https://s3-media1.fl.yelpcdn.com/bphoto/iFQbUW9GsUnXdd9NEXKiuw/o.jpg,False,140 Marsh Ave,,Staten Island Mall,Heartland Village,US,"[140 Marsh Ave, Staten Island Mall, Heartland Village, NY 10314]",NY,10314,Taco Bell,,$,2.0,4,[],https://www.yelp.com/biz/taco-bell-heartland-village?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
sonic-drive-in-elizabeth-3,"[{u'alias': u'burgers', u'title': u'Burgers'}, {u'alias': u'hotdogs', u'title': u'Fast Food'}, {u'alias': u'icecream', u'title': u'Ice Cream & Frozen Yogurt'}]",40.6722022962,-74.2001427003,(908) 965-0060,10873.5433084,fFHhSFwsftKjVmbM9IZDDg,https://s3-media4.fl.yelpcdn.com/bphoto/zdBgvKVOa1CPlA6IW-oj9w/o.jpg,False,573 Spring St,,,Elizabeth,US,"[573 Spring St, Elizabeth, NJ 07201]",NJ,7201,Sonic Drive-In,19089650060.0,$,3.5,51,[],https://www.yelp.com/biz/sonic-drive-in-elizabeth-3?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
burger-king-staten-island-6,"[{u'alias': u'burgers', u'title': u'Burgers'}, {u'alias': u'hotdogs', u'title': u'Fast Food'}]",40.590549,-74.089111,(718) 667-9563,4441.26300323,JFQfyQT421ceQ6nRcc-AhA,https://s3-media4.fl.yelpcdn.com/bphoto/Hk1TRCmTLGS9glgXmzhxug/o.jpg,False,1565 Hylan Blvd,,,Staten Island,US,"[1565 Hylan Blvd, Staten Island, NY 10305]",NY,10305,Burger King,17186679563.0,$,1.5,6,[],https://www.yelp.com/biz/burger-king-staten-island-6?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
carls-jr-brooklyn,"[{u'alias': u'burgers', u'title': u'Burgers'}, {u'alias': u'hotdogs', u'title': u'Fast Food'}]",40.5757300412,-73.9797998965,(718) 975-1991,13674.3739409,ye8TwxZft3QcubP8c4PKHA,https://s3-media3.fl.yelpcdn.com/bphoto/-mNuTDH-RuuFxGWHt_MoWQ/o.jpg,False,1201 Surf Ave,,,Brooklyn,US,"[1201 Surf Ave, Brooklyn, NY 11224]",NY,11224,Carl's Jr,17189751991.0,$,3.5,13,[],https://www.yelp.com/biz/carls-jr-brooklyn?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
burger-express-carteret-2,"[{u'alias': u'burgers', u'title': u'Burgers'}, {u'alias': u'chicken_wings', u'title': u'Chicken Wings'}, {u'alias': u'hotdogs', u'title': u'Fast Food'}]",40.57485,-74.21956,(732) 366-4067,6712.68100048,QVBCLHVe4Lv-gwFdniyPKQ,https://s3-media4.fl.yelpcdn.com/bphoto/VdquACFdHBlwuJOTWFkozg/o.jpg,False,215 Roosevelt Ave,,,Carteret,US,"[215 Roosevelt Ave, Carteret, NJ 07008]",NJ,7008,Burger Express,17323664067.0,$,3.5,69,"[delivery, pickup]",https://www.yelp.com/biz/burger-express-carteret-2?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
chick-fil-a-woodbridge,"[{u'alias': u'hotdogs', u'title': u'Fast Food'}]",40.556083,-74.296987,(732) 634-8981,13548.8251011,m2i1xUVYnQZHWOYf-5vsQQ,https://s3-media3.fl.yelpcdn.com/bphoto/WaW8p8-VYBgRDg0YBIyWCA/o.jpg,False,434 Woodbridge Center Dr,,,Woodbridge,US,"[434 Woodbridge Center Dr, Woodbridge, NJ 07095]",NJ,7095,Chick-fil-A,17326348981.0,$,4.5,29,[],https://www.yelp.com/biz/chick-fil-a-woodbridge?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
chick-fil-a-edison-2,"[{u'alias': u'hotdogs', u'title': u'Fast Food'}]",40.5483118539,-74.3350241712,(732) 548-6024,16876.0978197,NnkLd4z5xJ7AjbsbuSP1YA,https://s3-media1.fl.yelpcdn.com/bphoto/3_sq-k9i0rXWKEPTc8CI-A/o.jpg,False,55 Parsonage Rd,,,Edison,US,"[55 Parsonage Rd, Edison, NJ 08837]",NJ,8837,Chick-fil-A,17325486024.0,$,4.5,41,"[delivery, pickup]",https://www.yelp.com/biz/chick-fil-a-edison-2?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
dairy-queen-staten-island,"[{u'alias': u'icecream', u'title': u'Ice Cream & Frozen Yogurt'}, {u'alias': u'hotdogs', u'title': u'Fast Food'}]",40.6439906711,-74.0723162709,(718) 447-6035,8748.14121528,V5mAnPvYrtsmFb4dtQIIdg,https://s3-media2.fl.yelpcdn.com/bphoto/yvdjZCyJL-whVEwx0Quj3g/o.jpg,False,12 Ferry Terminal Dr,,St. George Terminal,Staten Island,US,"[12 Ferry Terminal Dr, St. George Terminal, Staten Island, NY 10301]",NY,10301,Dairy Queen,17184476035.0,$,3.0,18,[],https://www.yelp.com/biz/dairy-queen-staten-island?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
sonic-drive-in-bayonne,"[{u'alias': u'hotdogs', u'title': u'Fast Food'}, {u'alias': u'burgers', u'title': u'Burgers'}, {u'alias': u'icecream', u'title': u'Ice Cream & Frozen Yogurt'}]",40.6636269979,-74.1072611511,(201) 436-9200,9176.5431778,A0y1PAsSkZX9JqNCQ1OGcw,https://s3-media2.fl.yelpcdn.com/bphoto/QGCd8eG5fGxMrbajUFx0wg/o.jpg,False,100 Bayonne Crossing Way,,,Bayonne,US,"[100 Bayonne Crossing Way, Bayonne, NJ 07002]",NJ,7002,Sonic Drive-In,12014369200.0,$,2.5,49,[],https://www.yelp.com/biz/sonic-drive-in-bayonne?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
chick-fil-a-new-york-19,"[{u'alias': u'hotdogs', u'title': u'Fast Food'}]",40.71038,-74.00858,(212) 381-0780,17861.1263856,a0oAiB0itLNQ8E1_GY5_lw,https://s3-media4.fl.yelpcdn.com/bphoto/M8kuY9ZNxt_PFWNrJ0YfjA/o.jpg,False,144 Fulton St,,,New York,US,"[144 Fulton St, New York, NY 10038]",NY,10038,Chick-fil-A,12123810780.0,$,4.5,27,[],https://www.yelp.com/biz/chick-fil-a-new-york-19?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
wendys-brooklyn-11,"[{u'alias': u'hotdogs', u'title': u'Fast Food'}, {u'alias': u'burgers', u'title': u'Burgers'}]",40.59551,-74.00014,(718) 449-6887,11973.3064154,us7xVGpBF6M9P6k9juubkw,https://s3-media3.fl.yelpcdn.com/bphoto/-Ldc6_WnYunJh44FsayCCw/o.jpg,False,1602 Shore Pkwy,,,Brooklyn,US,"[1602 Shore Pkwy, Brooklyn, NY 11214]",NY,11214,Wendy's,17184496887.0,$,3.0,62,[],https://www.yelp.com/biz/wendys-brooklyn-11?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
panda-express-bayonne,"[{u'alias': u'chinese', u'title': u'Chinese'}, {u'alias': u'hotdogs', u'title': u'Fast Food'}]",40.663074,-74.106671,(201) 339-3500,9133.94003384,_ik-8qAmjBKXl-m77LN8eA,https://s3-media2.fl.yelpcdn.com/bphoto/74Z17MxljH6KikNW2WMF8A/o.jpg,False,207 Bayonne Crossing Way,,,Bayonne,US,"[207 Bayonne Crossing Way, Bayonne, NJ 07002]",NJ,7002,Panda Express,12013393500.0,$,3.5,24,[],https://www.yelp.com/biz/panda-express-bayonne?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
wendys-brooklyn-13,"[{u'alias': u'burgers', u'title': u'Burgers'}, {u'alias': u'hotdogs', u'title': u'Fast Food'}]",40.6223861589,-74.0278429145,(718) 833-3034,10426.2671185,92I8N12CiZdwc5hsiKKjlA,https://s3-media4.fl.yelpcdn.com/bphoto/rD8hyS3q4TOeu9HRgpg47Q/o.jpg,False,420 86th St,,,Brooklyn,US,"[420 86th St, Brooklyn, NY 11209]",NY,11209,Wendy's,17188333034.0,$,2.0,42,[],https://www.yelp.com/biz/wendys-brooklyn-13?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
burger-king-staten-island-5,"[{u'alias': u'burgers', u'title': u'Burgers'}, {u'alias': u'hotdogs', u'title': u'Fast Food'}]",40.624603,-74.144393,(718) 442-9199,4385.93871673,nQo1CavOga5dEIZkf8-0Aw,,False,20 Willowbrook Rd,,,Staten Island,US,"[20 Willowbrook Rd, Staten Island, NY 10302]",NY,10302,Burger King,17184429199.0,$,3.0,2,[],https://www.yelp.com/biz/burger-king-staten-island-5?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
chipotle-mexican-grill-brooklyn-11,"[{u'alias': u'mexican', u'title': u'Mexican'}, {u'alias': u'hotdogs', u'title': u'Fast Food'}]",40.6220817566,-74.0266113281,(718) 833-0534,10502.240959,O3wZRk6cRn2ihN6oheKwUQ,https://s3-media4.fl.yelpcdn.com/bphoto/jXe0nCPHJ2pQm12NLMH7zQ/o.jpg,False,463 86th St,,,Brooklyn,US,"[463 86th St, Brooklyn, NY 11209]",NY,11209,Chipotle Mexican Grill,17188330534.0,$,2.0,88,[],https://www.yelp.com/biz/chipotle-mexican-grill-brooklyn-11?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
mcdonalds-bayonne-3,"[{u'alias': u'burgers', u'title': u'Burgers'}, {u'alias': u'hotdogs', u'title': u'Fast Food'}, {u'alias': u'coffee', u'title': u'Coffee & Tea'}]",40.66560466,-74.1172103825,(201) 858-9054,9164.11028394,Od9B9DB7MykpWkZi9ARwkQ,https://s3-media3.fl.yelpcdn.com/bphoto/F2octMjEgAFcKNQTrS245g/o.jpg,False,537 Broadway,,,Bayonne,US,"[537 Broadway, Bayonne, NJ 07002]",NJ,7002,McDonald's,12018589054.0,$,1.0,23,[],https://www.yelp.com/biz/mcdonalds-bayonne-3?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
jollibee-jersey-city,"[{u'alias': u'filipino', u'title': u'Filipino'}, {u'alias': u'hotdogs', u'title': u'Fast Food'}, {u'alias': u'burgers', u'title': u'Burgers'}]",40.7040297636,-74.0988553254,(201) 946-7461,13685.0399394,ZuRxV288FG4ttgi34-FEmw,https://s3-media1.fl.yelpcdn.com/bphoto/mIrT2lhw_z4cNhl2AKLgWQ/o.jpg,False,393 Danforth Ave,,Danforth Plaza,Jersey City,US,"[393 Danforth Ave, Danforth Plaza, Jersey City, NJ 07305]",NJ,7305,Jollibee,12019467461.0,$,3.0,149,[],https://www.yelp.com/biz/jollibee-jersey-city?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
chick-fil-a-woodbridge-7,"[{u'alias': u'hotdogs', u'title': u'Fast Food'}]",40.5700430818,-74.2934930497,(732) 636-2074,12969.40561,S7ySqBpsekQWUznl6saCrA,https://s3-media1.fl.yelpcdn.com/bphoto/AGOFMUuExkPDYtBtbVmlBw/o.jpg,False,1040 US Highway 1 N,,,Woodbridge,US,"[1040 US Highway 1 N, Woodbridge, NJ 07095]",NJ,7095,Chick-fil-A,17326362074.0,$,3.0,45,[],https://www.yelp.com/biz/chick-fil-a-woodbridge-7?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
subway-staten-island-6,"[{u'alias': u'hotdogs', u'title': u'Fast Food'}, {u'alias': u'sandwiches', u'title': u'Sandwiches'}]",40.63866,-74.076034,(718) 727-1777,8096.29526313,mEfKEypKi0p1yxE8BPSlkA,,False,150 Bay St,,,Staten Island,US,"[150 Bay St, Staten Island, NY 10301]",NY,10301,Subway,17187271777.0,$,3.0,4,[],https://www.yelp.com/biz/subway-staten-island-6?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
burger-king-brooklyn-2,"[{u'alias': u'hotdogs', u'title': u'Fast Food'}, {u'alias': u'coffee', u'title': u'Coffee & Tea'}, {u'alias': u'burgers', u'title': u'Burgers'}]",40.62477,-73.99879,(718) 236-8074,12800.6681959,4BrisBwrFgowhbTIeITKWw,https://s3-media3.fl.yelpcdn.com/bphoto/mysrVceVrAn_euGiDH_XHg/o.jpg,False,6413 14th Ave,,,Brooklyn,US,"[6413 14th Ave, Brooklyn, NY 11219]",NY,11219,Burger King,17182368074.0,$,2.0,50,[],https://www.yelp.com/biz/burger-king-brooklyn-2?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
subway-staten-island-26,"[{u'alias': u'hotdogs', u'title': u'Fast Food'}, {u'alias': u'sandwiches', u'title': u'Sandwiches'}]",40.62974,-74.109692,(718) 981-0251,5615.28568426,sr7rwEsTgIed5ognawvt4w,,False,612 Forest Ave,,,Staten Island,US,"[612 Forest Ave, Staten Island, NY 10310]",NY,10310,Subway,17189810251.0,$,5.0,1,[],https://www.yelp.com/biz/subway-staten-island-26?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
mcdonalds-brooklyn-73,"[{u'alias': u'burgers', u'title': u'Burgers'}, {u'alias': u'hotdogs', u'title': u'Fast Food'}, {u'alias': u'coffee', u'title': u'Coffee & Tea'}]",40.622159,-74.027731,(718) 238-7999,10424.9829778,RRE98DxIdCYZ0msCCDNW4Q,https://s3-media3.fl.yelpcdn.com/bphoto/1zizKPfEmyy0nRP4iXqAWA/o.jpg,False,430 86th St,,,Brooklyn,US,"[430 86th St, Brooklyn, NY 11209]",NY,11209,McDonald's,17182387999.0,$,3.0,22,[],https://www.yelp.com/biz/mcdonalds-brooklyn-73?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
popeyes-louisiana-kitchen-new-york-20,"[{u'alias': u'hotdogs', u'title': u'Fast Food'}, {u'alias': u'chicken_wings', u'title': u'Chicken Wings'}]",40.6363428,-74.0120788,(718) 238-4100,12294.8952544,LyNQBPhmvRkN69b3rJp41Q,https://s3-media1.fl.yelpcdn.com/bphoto/RDYB7pdh7WS2K9Dkk-4ctg/o.jpg,False,6013 7th Ave,,,New York,US,"[6013 7th Ave, New York, NY 11220]",NY,11220,Popeyes Louisiana Kitchen,17182384100.0,$,3.0,29,[],https://www.yelp.com/biz/popeyes-louisiana-kitchen-new-york-20?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
white-castle-linden,"[{u'alias': u'hotdogs', u'title': u'Fast Food'}, {u'alias': u'burgers', u'title': u'Burgers'}]",40.6459,-74.22666,(908) 587-0632,9876.16899064,0DKm34i7lDpLHXrMEgAW2g,https://s3-media2.fl.yelpcdn.com/bphoto/jjwQeCRhgcbBQRi6t7sNLQ/o.jpg,False,2001 Edgar Rd,,,Linden,US,"[2001 Edgar Rd, Linden, NJ 07036]",NJ,7036,White Castle,19085870632.0,$,4.0,13,[],https://www.yelp.com/biz/white-castle-linden?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
